book_id,copy_count,access_type_sample
B_0006e437ee0d24,4,
B_0008166bc69f27,6,
B_000cbc6e734a0e,1,
B_00116f91ab825a,2,
B_00117a496b3126,1,
B_001226a80495e5,1,
B_00138cec4a13cb,2,
B_0014f0b3103521,2,
B_001abcffa9ae8a,4,
B_001d3616f63d23,4,
B_001f068ac17b6b,2,
B_00271b8887719c,1,
B_002f7d97fe5b69,1,
B_002fa17e40831c,4,
B_0030bd3749b17d,1,
B_003418adf95d5e,1,
B_00391580280ade,2,
B_0039c2ad5c7bcf,4,
B_003ce5c5f42f87,1,
B_003de30e2f734d,4,
B_00427ff6e93291,1,
B_00444d961d9b4c,1,
B_0047941a9e61d7,1,
B_004811821c20d0,1,
B_004aa43fcd0dcc,2,
B_004c523a8ae6b9,1,
B_004f9867490ce2,2,
B_004fd1bb594c23,2,
B_0051227387ef26,1,
B_005381847fdafd,1,
B_005434b05a3a2b,1,
B_0054c25e191602,4,
B_005a7b3fdbd0fd,2,
B_005acbefddb6dc,4,
B_006170a2bb09e5,2,Dapat dipinjam
B_00624826dd3cd4,1,
B_006383d9a1a38a,1,Baca di tempat
B_006d5f4587d165,2,
B_006f90a78df141,1,
B_006fbd60a50f0c,8,
B_0070551129bfe4,1,Dapat dipinjam
B_007282abfe2fb3,1,
B_00730995639e26,2,
B_00742a7d9bb822,1,
B_007450990811d8,1,
B_007821ad118c8a,1,
B_007856a2b2b930,1,
B_0078e184beb665,2,
B_007a4fc36c629f,2,
B_007cf41294f72b,1,
B_007d9a3742eb06,1,
B_007e49e9906c51,1,
B_007f874be9c027,1,
B_008212d2713358,2,
B_00849af2b5dd5b,2,
B_00892da464bb17,1,
B_008a500b7d0738,1,
B_008aba47b143b0,1,
B_009002f6f8d11f,4,
B_00909499551210,1,
B_0092195991d973,1,
B_009545a0448f2a,1,
B_009c6abc57b8fe,1,
B_009cc13b722a8e,4,
B_009d9251fc0743,2,
B_009e114df17698,4,
B_00a076f6d170d4,1,
B_00a13d9d7833ab,1,
B_00a234308e758a,2,
B_00a30fa39effaa,1,
B_00a327f8ea04a1,2,
B_00a4b21d4a78f6,2,
B_00a5db6a3564fb,1,
B_00a822d7bb2a72,1,
B_00a8d54e547f1b,1,
B_00a92917eb1544,4,
B_00a9e4b4c509dc,1,
B_00aa58ba184d42,1,
B_00aa7d5d4ded79,1,
B_00af721f4d18ea,1,
B_00b14682f6d5d6,1,
B_00b3444fdd43a0,5,
B_00b3b6add3262c,2,Dapat dipinjam
B_00bbb3e83b2c18,2,
B_00bceaf1a27811,2,
B_00bd0dee10f7b3,4,
B_00c352184b93b7,1,
B_00c5435f152be6,1,
B_00c5cf3371d508,1,
B_00cb90e3b1845f,2,
B_00cf2b6aeb37fd,1,
B_00d1a125ce278f,1,
B_00d8bbc870e988,1,
B_00dac9cc274676,1,
B_00dba9a8506020,4,
B_00de1c3686ba38,2,
B_00de68430436b7,2,
B_00e26a74e17177,2,
B_00e38e49f341d2,6,
B_00e51bfa5959ab,1,
B_00e5738bc6caf8,1,
B_00e6ffafb37517,2,
B_00e9f54ee8693a,1,
B_00f5e3b126d870,1,
B_00f625d4701d83,1,
B_00f6769433d894,4,
B_00f81e8a12cd89,2,
B_00fa82d552db80,2,
B_00faaa0dee105b,2,
B_00feec268dee64,2,
B_00ff7b8ea9af64,1,
B_0102585d8017e1,1,
B_01030a66524e7e,1,
B_0104de5ba68472,2,
B_010532c044e251,2,
B_0109ec04a1f60e,1,
B_010afbd169c7d7,1,
B_010bb102d09dd0,3,Dapat dipinjam
B_010d37f800c562,1,
B_010f0ebca7c728,2,
B_01111495c9fa03,3,
B_0113466b93edae,2,
B_011669f4406554,1,
B_011697e915aa9d,2,
B_011d618c7d5862,2,
B_012065bbbfa7c5,1,
B_01238315e12a59,1,
B_01239e3cd62ff1,1,
B_0125599738423a,1,
B_012a243d1e7012,1,
B_012a9cf7b97546,1,
B_0132bf00bdc627,1,
B_0136187140a7f1,1,
B_013931ee99c5f3,1,
B_013ebbd360bedf,1,
B_013ee102c6bf0e,2,
B_013f7bc3572f88,1,
B_013f8bd7660c47,1,
B_01406ee189b0ed,2,
B_0141b7906fede3,2,
B_014303998fb660,4,
B_01437da849bfc3,4,
B_0145e549e51191,4,
B_0146ba3e723c8f,2,
B_01478b0d364b5e,150,
B_0148aab7a4d2c8,1,
B_014c32f172f749,2,
B_014d8ce908c301,1,
B_014ff777cd6ab5,1,
B_015070f2e14622,1,
